Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,20-Mar-2014,24-Apr-2014,6350,55.35,188.8,6483.1,0.309542830328591
NIFTY,17-Jan-2014,25-Sep-2014,4900,179.45,2644.95,6261.65,
NIFTY,05-Mar-2014,24-Apr-2014,7450,1222.2,4.05,6328.65,1.83335665634857
NIFTY,16-Jan-2014,29-Dec-2016,5800,548.9,1904.75,6318.9,
NIFTY,19-Feb-2014,29-Dec-2016,5400,443.55,1654.5,6152.75,
NIFTY,22-Jan-2014,29-Dec-2016,4000,228.1,1499.45,6338.95,0.981438951325808
NIFTY,25-Feb-2014,30-Jun-2016,8300,575.3,617.45,6200.05,0.700693605003528
NIFTY,19-Mar-2014,24-Dec-2014,7600,495.15,215.9,6524.05,0.08723494627279
NIFTY,10-Jan-2014,31-Dec-2015,7900,472.45,3435.1,6171.45,0.140714680288348
NIFTY,04-Mar-2014,24-Dec-2014,3700,4.75,3313.45,6297.95,
NIFTY,06-Mar-2014,29-Dec-2016,3900,150.85,2416.3,6401.15,0.301175770733276
NIFTY,18-Mar-2014,27-Mar-2014,6750,210,1439.5,6516.65,
NIFTY,04-Feb-2014,25-Sep-2014,7600,1419.4,278.6,6000.9,0.312419875757323
NIFTY,13-Mar-2014,26-Jun-2014,8200,772.6,878.7,6493.1,
NIFTY,14-Jan-2014,30-Jun-2016,4800,378.85,3176.3,6241.85,
NIFTY,25-Feb-2014,28-Jun-2018,6300,360.9,2067.15,6200.05,0.673739948139557
NIFTY,16-Jan-2014,30-Jun-2016,6600,635,719.8,6318.9,0.389971197482943
NIFTY,12-Mar-2014,29-Jun-2017,6500,308.5,1446.6,6516.9,
NIFTY,30-Jan-2014,29-Dec-2016,7700,485.6,889.7,6073.7,0.189318449175519
NIFTY,18-Feb-2014,30-Jun-2016,3100,23.3,3007.3,6127.1,
NIFTY,30-Jan-2014,25-Sep-2014,4300,77.45,893.8,6073.7,1.1308231009982
NIFTY,09-Jan-2014,27-Dec-2018,8700,637.3,2325.55,6168.35,0.601556351912349
NIFTY,13-Mar-2014,29-Dec-2016,5400,443.55,1793.3,6493.1,0.341956160261306
NIFTY,03-Jan-2014,24-Dec-2014,6100,265.65,2742.1,6211.15,0.246614373196666
NIFTY,14-Jan-2014,25-Jun-2015,4900,513.6,1610.95,6241.85,
NIFTY,21-Jan-2014,30-Jun-2016,8100,495.8,1716.45,6313.8,
NIFTY,26-Feb-2014,28-Dec-2017,3700,0.1,3575.15,6238.8,0.14388695666501
NIFTY,14-Jan-2014,24-Dec-2014,3200,15.65,1451.2,6241.85,0.882235539132049
NIFTY,13-Feb-2014,29-Dec-2016,5900,576.9,1549.7,6001.1,0.583873332849043
NIFTY,27-Jan-2014,25-Sep-2014,6800,926.5,1309.1,6135.85,0.227574472854484
NIFTY,21-Mar-2014,24-Apr-2014,4600,0.35,1943,6493.2,0.319944764865556
NIFTY,03-Jan-2014,24-Dec-2014,5200,692.5,1167.5,6211.15,0.508273568623588
NIFTY,10-Feb-2014,25-Jun-2015,3300,21.15,2753.3,6053.45,0.116032377346703
NIFTY,14-Feb-2014,27-Mar-2014,6050,105.35,116.6,6048.35,0.185352588474459
NIFTY,06-Jan-2014,26-Jun-2014,6100,287.15,2973,6191.45,2.24031134958039
