Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-August-2018,161.0,162.25,159.05,160.6,160.9430747623646,2461439,4448,396151561.0,2029569.0,82.45,3.2,-0.4
16-August-2018,161.1,161.85,158.35,158.55,159.38269250155187,376958,7519,60080581.0,142750.0,37.87,3.5,-2.55
17-August-2018,159.0,160.0,158.75,159.6,159.47724380488899,286032,2474,45615595.0,168655.0,58.96,1.25,0.6
20-August-2018,158.95,160.2,158.35,158.85,159.0053585405503,348789,2465,55459320.0,131892.0,37.81,1.85,-0.1
21-August-2018,159.2,159.75,157.6,157.8,158.43402942512805,398367,4770,63114889.0,182784.0,45.88,2.15,-1.4
23-August-2018,157.9,157.9,151.9,153.55,153.45112075466258,1595309,7241,244801954.0,1033301.0,64.77,6.0,-4.35
24-August-2018,153.9,155.25,151.6,154.25,153.8293354892577,415599,3741,63931318.0,140991.0,33.92,3.65,0.35
27-August-2018,155.0,156.5,155.0,156.05,155.79509718423387,302724,2152,47162915.0,124430.0,41.1,1.5,1.05
28-August-2018,157.4,157.4,154.85,155.6,156.19327132350358,256841,2285,40116836.0,105918.0,41.24,2.55,-1.8
29-August-2018,156.7,156.95,155.5,156.5,156.37156770121408,198992,2443,31116691.0,84270.0,42.35,1.45,-0.2
30-August-2018,156.4,156.4,154.0,154.6,154.80104404472817,343855,2934,53229113.0,142857.0,41.55,2.4,-1.8
31-August-2018,154.8,156.2,153.05,155.65,154.92183661900862,349294,2552,54113268.0,113975.0,32.63,3.15,0.85
03-September-2018,157.0,157.05,154.1,155.15,155.87992257610418,227320,1933,35434624.0,93589.0,41.17,2.95,-1.85
04-September-2018,155.0,155.0,152.1,152.55,153.39891844700318,430677,3186,66065386.0,167832.0,38.97,2.9,-2.45
05-September-2018,153.0,153.65,150.2,152.8,151.3222423432927,555526,5080,84063440.0,189262.0,34.07,3.45,-0.2
06-September-2018,153.1,154.35,152.0,153.65,153.19724189916604,310431,2515,47557173.0,78283.0,25.22,2.35,0.55
