Date,Open,High Price,Low Price,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-April-2018,376.3,380.5,375.0,377.2,377.0521747087501,557339,1363,210145882.0,12986.0,2.33,5.5,0.9
17-April-2018,377.2,382.9,374.8,381.3,378.6380495290335,122514,1617,46388462.0,15892.0,12.97,8.1,4.1
18-April-2018,383.8,391.75,382.0,384.8,386.6282125763203,266803,4447,103153567.0,73323.0,27.48,9.75,1.0
19-April-2018,385.5,396.8,385.5,394.95,391.2716932341687,171701,2657,67181741.0,45851.0,26.7,11.3,9.45
20-April-2018,394.9,402.9,391.55,400.75,398.47202147228836,206033,2791,82098386.0,25262.0,12.26,11.35,5.85
23-April-2018,398.5,406.1,397.35,403.65,402.27980639873823,323345,2058,130075164.0,168434.0,52.09,8.75,5.15
24-April-2018,403.5,408.5,396.6,406.1,401.37608652348,647593,4592,259928344.0,298721.0,46.13,11.9,2.6
25-April-2018,414.0,427.0,412.15,419.8,420.26178833447227,940909,9924,395428099.0,88562.0,9.41,14.85,5.8
26-April-2018,424.0,424.0,405.0,408.85,413.0419587505745,276319,3050,114131341.0,50359.0,18.22,19.0,-15.15
27-April-2018,408.0,415.85,401.05,408.95,407.28276874077653,239878,3242,97698176.0,31422.0,13.1,14.8,0.95
30-April-2018,408.95,412.7,404.4,409.55,409.48044276097596,152859,3752,62592771.0,47703.0,31.21,8.3,0.6
02-May-2018,411.0,412.0,406.0,408.0,408.0149921412163,157149,1679,64119148.0,18626.0,11.85,6.0,-3.0
03-May-2018,408.0,408.0,399.55,404.4,403.84212389760313,93206,1811,37640509.0,19994.0,21.45,8.45,-3.6
04-May-2018,411.0,418.25,394.0,396.6,405.3264700007816,575765,6562,233372795.0,121990.0,21.19,24.25,-14.4
07-May-2018,400.5,404.5,395.9,398.0,399.71354716412117,185692,2357,74223608.0,26542.0,14.29,8.6,-2.5
08-May-2018,398.5,402.75,397.15,400.75,400.2907138401881,133069,1501,53266285.0,19443.0,14.61,5.6,2.25
09-May-2018,400.75,409.15,397.5,402.6,403.97794613298976,267028,3341,107873423.0,71052.0,26.61,11.65,1.85
10-May-2018,409.0,413.8,404.0,412.25,409.5009353539662,248569,3805,101789238.0,48287.0,19.43,9.8,3.25
11-May-2018,402.0,402.0,381.2,385.7,389.89315080032736,878453,7693,342502808.0,234414.0,26.68,20.8,-16.3
14-May-2018,389.8,393.95,372.65,381.5,385.0123774142188,433370,4096,166852814.0,59181.0,13.66,21.3,-8.3
15-May-2018,382.0,388.8,371.95,379.4,381.79500868626485,220463,3807,84171673.0,33788.0,15.33,16.85,-2.6
16-May-2018,378.0,384.0,374.55,375.35,377.2579233845275,164797,1761,62170974.0,17817.0,10.81,9.45,-2.65
17-May-2018,376.1,378.4,364.9,366.55,371.25656042652963,220946,3359,82027652.0,43204.0,19.55,13.5,-9.55
18-May-2018,368.5,368.7,355.1,361.95,360.6950207288813,345653,4206,124675316.0,67519.0,19.53,13.6,-6.55
21-May-2018,362.0,369.0,356.1,360.2,364.2730523293748,153260,2488,55828488.0,24272.0,15.84,12.9,-1.8
22-May-2018,357.95,370.5,352.1,361.9,362.7028177458034,316920,5241,114947777.0,69019.0,21.78,18.4,3.95
23-May-2018,362.0,365.15,354.55,356.8,358.92304204695535,202916,2820,72831228.0,48310.0,23.81,10.6,-5.2
24-May-2018,357.15,373.7,356.9,371.45,366.29520464455805,159154,2938,58297347.0,26604.0,16.72,16.8,14.3
25-May-2018,377.35,380.0,367.4,376.65,373.3613454608697,327739,2262,122365074.0,172019.0,52.49,12.6,-0.7
28-May-2018,377.0,380.5,370.8,374.2,375.35154262651537,140734,2420,52824724.0,20578.0,14.62,9.7,-2.8
29-May-2018,376.05,379.9,371.5,378.25,376.6410903159629,118938,1899,44796938.0,16808.0,14.13,8.4,2.2
30-May-2018,378.0,378.95,373.0,375.9,374.98989383303365,86185,1166,32318504.0,11812.0,13.71,5.95,-2.1
31-May-2018,374.0,383.2,372.0,373.8,376.6154403264669,143598,1694,54081224.0,16399.0,11.42,11.2,-0.2
01-June-2018,378.45,384.85,372.85,382.6,379.2303253555917,140892,2392,53430519.0,14568.0,10.34,12.0,4.15
04-June-2018,384.05,390.0,370.0,371.85,377.7762012689436,140747,2321,53170867.0,21545.0,15.31,20.0,-12.2
05-June-2018,373.0,380.0,357.6,363.8,363.75896140734733,826349,3096,300591854.0,653199.0,79.05,22.4,-9.2
06-June-2018,361.0,382.9,361.0,380.35,375.2624107511429,261628,2957,98179154.0,28166.0,10.77,21.9,19.35
07-June-2018,379.95,386.0,374.7,379.95,380.27983329801515,212355,5183,80754324.0,23222.0,10.94,11.3,0.0
08-June-2018,376.8,383.4,372.55,376.75,378.3525674062381,153287,2338,57996530.0,22649.0,14.78,10.85,-0.05
11-June-2018,380.0,394.0,378.35,388.75,387.9601233070047,242322,3081,94011273.0,25349.0,10.46,15.65,8.75
12-June-2018,390.0,393.55,370.0,381.05,384.3866426348872,223038,2552,85732828.0,46026.0,20.64,23.55,-8.95
13-June-2018,375.0,381.85,373.65,376.1,377.620261963998,191324,2269,72247819.0,17137.0,8.96,8.2,1.1
14-June-2018,375.5,383.8,374.05,376.15,382.00149778560865,2384854,2404,911017800.0,2147332.0,90.04,9.75,0.65
15-June-2018,376.1,380.3,370.15,377.55,374.85723431027003,135901,1835,50943473.0,10294.0,7.57,10.15,1.45
18-June-2018,381.0,381.0,369.0,371.25,375.7692682332888,106769,2041,40120509.0,17522.0,16.41,12.0,-9.75
19-June-2018,372.0,375.3,369.2,371.15,372.6002451017784,196653,2122,73272956.0,28085.0,14.28,6.1,-0.85
20-June-2018,374.05,376.2,370.5,372.25,373.5087673080571,94898,1292,35445235.0,9887.0,10.42,5.7,-1.8
